au_id,au_tl,au_ar,au_sh,sh_ar,date,cit,bio,incrp
810,Abū Muḥammad ʿAbd Allāh b. Muḥammad b. Saʿīd b. Sinān al-Khafājī al-Ḥalabī (t. 466 AH),أبو محمد عبد الله بن محمد بن سعيد بن سنان الخفاجي الحلبي (ت ٤٦٦هـ),Ibn Sinān al-Khafājī,ابن سنان الخفاجي,466,-,-,-
817,Al-Asmāʿī Abū Saʿīd ʿAbd al-Malik b. Qarīb b. ʿAbd al-Malik (t. 216 AH),الأصمعي أبو سعيد عبد الملك بن قريب بن عبد الملك (ت ٢١٦هـ),al-Aṣmaʿī,الأصمعي,216,-,-,-
820,Abū Bakr Muḥammad b. al-Ḥusayn b. Dirayd al-Azdī (t. 321 AH),أبو بكر محمد بن الحسن بن دريد الأزدي (ت ٣٢١هـ),Ibn Durayd,ابن دريد,321,-,-,-
825,"Ibrāhīm b. ʿAlī b. Tamīm al-Anṣārī, Abū Isḥāq al-Ḥuṣrī al-Qairawānī (t. 453 AH)","إبراهيم بن علي بن تميم الأنصاري، أبو إسحاق الحُصري القيرواني (ت ٤٥٣هـ)",al-Ḥuṣrī al-Qayrawānī,الحصري القيرواني,453,-,-,-
830,Abū al-Fatḥ ʿUthmān b. Junayy al-Mawṣalī (t. 392 AH),أبو الفتح عثمان بن جني الموصلي (ت ٣٩٢هـ),Ibn Jinnī,ابن جني,392,-,-,-
832,Abū al-Qāsim al-Ḥasan b. Muḥammad b. Ḥabīb an-Nīsābūrī (t. 406 AH),أبو القاسم الحسن بن محمد بن حبيب النيسابوري (ت ٤٠٦هـ),"al-Naysābūrī, Ibn Ḥabīb","النيسابوري، ابن حبيب",406,-,-,-
833,Abū Isḥāq Burhān ad-Dīn Muḥammad b. Ibrāhīm b. Yaḥyā b. ʿAlī al-Maʿrūf bi-al-Waṭwāṭ (t. 718 AH),أبو إسحق برهان الدين محمد بن إبراهيم بن يحيى بن علي المعروف بالوطواط (ت ٧١٨هـ),al-Waṭwāṭ,الوطواط,718,-,-,-
836,"Muḥammad b. al-Ḥasan b. Muḥammad b. ʿAlī b. Ḥamadūn, Abū al-Maʿālī, Bahā ad-Dīn al-Baghdādī (t. 562 AH)","محمد بن الحسن بن محمد بن علي بن حمدون، أبو المعالي، بهاء الدين البغدادي (ت ٥٦٢هـ)",Ibn Ḥamdūn,ابن حمدون,562,-,-,-
837,"ʿImād ad-Dīn al-Kātib al-Aṣbahānī, Muḥammad b. Muḥammad Ṣafī ad-Dīn b. Nafīs ad-Dīn Ḥāmid b. Alhā, Abū ʿAbd Allāh (t. 597 AH)","عماد الدين الكاتب الأصبهاني، محمد بن محمد صفي الدين بن نفيس الدين حامد بن أله، أبو عبد الله (ت ٥٩٧هـ)",al-ʿImād al-Iṣbahānī al-Kātib,العماد الأصبهاني الكاتب,597,-,-,-
843,"Qudāmah b. Jaʿfar b. Qudāmah b. Ziyād al-Baghdādī, Abū al-Faraj (t. 337 AH)","قدامة بن جعفر بن قدامة بن زياد البغدادي، أبو الفرج (ت ٣٣٧هـ)",Qudāma b. Jaʿfar,قدامة بن جعفر,337,-,-,-
847,"Mawahūb b. Aḥmad b. Muḥammad b. al-Khaḍr b. al-Ḥasan, Abū Manṣūr Ibn al-Jawālīqī (t. 540 AH)","موهوب بن أحمد بن محمد بن الخضر بن الحسن، أبو منصور ابن الجواليقى (ت ٥٤٠هـ)",al-Jawālīqī,الجواليقي,540,-,-,-
858,Abū al-Walīd Ismāʿīl b. Muḥammad b. ʿĀmir b. Ḥabīb al-Ḥamīrī (t. around 440 AH),أبو الوليد إسماعيل بن محمد بن عامر بن حبيب الحميري (ت نحو ٤٤٠هـ),"al-Ḥimyarī, Abū al-Walīd","الحميري، أبو الوليد",440,-,-,-
869,"Al-Khāldiyān Abū Bakr Muḥammad b. Hāshim al-Khāldī, (t. around 380 AH), wa Abū ʿUthmān Saʿīd b. Hāshim al-Khāldī (t. 371 AH)","الخالديان أبو بكر محمد بن هاشم الخالدي، (ت نحو ٣٨٠هـ) ، و أبو عثمان سعيد بن هاشم الخالدي (ت ٣٧١هـ)",al-Khālidiyyān,الخالديان,371,-,-,-
881,Stanley Edgar Hyman (Stanley Edgar Hyman) (t. 1390 AH),ستانلي ادغار هايمن (Stanley Edgar Hyman) (ت ١٣٩٠هـ),Stanley Hyman,ستانلي هايمن,1390,-,-,-
882,Abū ʿAbd Allāh Muḥammad b. al-Ḥasan al-Kattānī aṭ-Ṭabīb (t. around 420 AH),أبو عبد الله محمد بن الحسن الكتاني الطبيب (ت نحو ٤٢٠هـ),Ibn al-Kattānī,ابن الكتاني,420,-,-,-
892,"Aḥmad b. Fāris b. Zakrīyā al-Qazwīnī ar-Rāzī, Abū al-Ḥusayn (t. 395 AH)","أحمد بن فارس بن زكرياء القزويني الرازي، أبو الحسين (ت ٣٩٥هـ)",Ibn Fāris,ابن فارس,395,-,-,-
893,"Jamāl ad-Dīn, ʿAbd Allāh b. Yūsuf b. Hishām an-Naḥwī (t. 761 AH)","جمال الدين، عبد الله بن يوسف بن هشام النحوي (ت ٧٦١ هـ)",Ibn Hishām al-Naḥwī,ابن هشام النحوي,761,-,-,-
897,Abū al-Maḥāsin al-Mufaḍḍal b. Muḥammad b. Masʿar at-Tanūkhi al-Maʿrī (t. 442 AH),أبو المحاسن المفضل بن محمد بن مسعر التنوخي المعري (ت ٤٤٢هـ),Abū al-Maḥāsin al-Tanūkhī,أبو المحاسن التنوخي,442,-,-,-
901,"Muḥammad b. Aḥmad b. al-Azhārī al-Harawī, Abū Manṣūr (t. 370 AH)","محمد بن أحمد بن الأزهري الهروي، أبو منصور (ت ٣٧٠هـ)",al-Azharī,الأزهري,370,-,-,-
903,Abū al-Fatḥ Nāṣir ad-Dīn al-Maṭarazī (610 AH),أبو الفتح ناصر الدين المطرزي (٦١٠),al-Muṭarrizī,المطرزي,610,-,-,-
904,"Aḥmad b. Muḥammad b. ʿAlī al-Fayyūmī thumma al-Ḥammawī, Abū al-ʿAbbās (t. around 770 AH)","أحمد بن محمد بن علي الفيومي ثم الحموي، أبو العباس (ت نحو ٧٧٠ هـ)",al-Fayyūmī,الفيومي,770,-,-,-
906,"Muḥammad ibn Muḥammad ibn ʿAbd ar-Razāq al-Ḥusaynī, Abū al-Fayḍ, al-Mulqa bi-Murtaḍā, az-Zabaīdī (t. 1205 AH)","محمّد بن محمّد بن عبد الرزّاق الحسيني، أبو الفيض، الملقّب بمرتضى، الزَّبيدي (ت ١٢٠٥هـ)",Murtaḍā al-Zabīdī,مرتضى الزبيدي,1205,-,-,-
908,Abū al-Khayr Yaḥyā Sharaf ad-Dīn b. Mūsā (Nūr ad-Dīn) al-ʿAmriyāṭī (t. after 989 AH),أبو الخير يحيى شرف الدين بن موسى (نور الدين) العمريطي (ت بعد ٩٨٩ هـ),al-ʿImrīṭī,العمريطي,989,-,-,-
915,Abū al-ʿIrfān Muḥammad b. ʿAlī aṣ-Ṣabbān ash-Shāfʿī (t. 1206 AH),أبو العرفان محمد بن علي الصبان الشافعي (ت ١٢٠٦هـ),al-Ṣabbān,الصبان,1206,-,-,-
916,ʿAbd al-Ghanī b. Isḥāq b. ʿAbd al-Ghanī an-Nāblasī (t. 1143 AH),عبد الغني بن إسماعيل بن عبد الغني النابلسي (ت ١١٤٣هـ),ʿAbd al-Ghanī al-Nābulusī,عبد الغني النابلسي,1143,-,-,-
917,Abū al-ʿAbbās Aḥmad b. Yūsuf at-Tīfāshī (t. 651 AH),أبو العباس أحمد بن يوسف التيفاشي (ت ٦٥١هـ),Aḥmad b. Yūsuf al-Tīfāshī,أحمد بن يوسف التيفاشي,651,-,-,-
951,"Ḥusayn b. Aḥmad b. Ḥusayn az-Zawzanī, Abū ʿAbd Allāh (t. 486 AH)","حسين بن أحمد بن حسين الزَّوْزَني، أبو عبد الله (ت ٤٨٦هـ)","al-Zawzanī, Abū ʿAbd Allāh","الزوزني، أبو عبد الله",486,-,-,-
966,Al-Ustādh ad-Duktur Muḥammad Mahr ʿAlī (t. 1428 AH),الأستاذ الدكتور محمد مهر علي (ت ١٤٢٨هـ),Muḥammad Mihr ʿAlī,محمد مهر علي,1428,-,-,-
982,"Muḥammad b. Abī al-Fatḥ b. Abī al-Faḍl al-Bʿalī, Abū ʿAbd Allāh, Shams ad-Dīn (t. 709 AH)","محمد بن أبي الفتح بن أبي الفضل البعلي، أبو عبد الله، شمس الدين (ت ٧٠٩هـ)",Ibn Abī al-Fatḥ,ابن أبي الفتح,709,-,-,-
984,Ṭāhā Jābir Fayyāḍ al-ʿAlawānī,طه جابر فياض العلواني,Ṭāhā Jābir Fayyāḍ al-ʿAlwānī,طه جابر فياض العلواني,1437,-,-,-
988,"Āl Tīmīyah [badāʾa bi-taṣnīfihā al-jadd: Majd ad-Dīn Abū al-Barakāt ʿAbd al-Salām b. Tīmīyah (t. 652 AH), wa added ilayhā al-ab, Shihāb ad-Dīn ʿAbd al-Ḥalīm b. Tīmīyah (t. 682 AH), thumma akmalahā al-ibn al-ḥafīd: Shaykh al-Islām Taqī ad-Dīn Abū al-ʿAbbās Aḥmad b. Tīmīyah (728 AH)]","آل تيمية [بدأ بتصنيفها الجدّ: مجد الدين أبو البركات عبد السلام بن تيمية (ت ٦٥٢ هـ)، وأضاف إليها الأب،: شهاب الدين عبد الحليم بن تيمية (ت ٦٨٢ هـ)، ثم أكملها الابن الحفيد: شيخ الإسلام تقي الدين أبو العباس أحمد بن تيمية (٧٢٨ هـ)]",Majd al-Dīn b. Taymiyya,مجد الدين بن تيمية,652,-,-,-
990,ʿAlī Abū al-Ḥasan b. ʿAbd al-Ḥay b. Fakhr ad-Dīn al-Nadwī (t. 1420 AH),علي أبو الحسن بن عبد الحي بن فخر الدين الندوي (ت ١٤٢٠ هـ),Abū al-Ḥasan al-Nadwī,أبو الحسن الندوي,1420,-,-,-
991,"ʿAbd ar-Raḥmān b. Ibrāhīm b. Aḥmad, Abū Muḥammad Bahā ad-Dīn al-Muqaddasī (t. 624 AH)","عبد الرحمن بن إبراهيم بن أحمد، أبو محمد بهاء الدين المقدسي (ت ٦٢٤هـ)",Bahāʾ al-Dīn al-Maqdisī,بهاء الدين المقدسي,624,-,-,-
997,Munāʿ b. Khalīl al-Qatān (t. 1420 AH),مناع بن خليل القطان (ت ١٤٢٠هـ),Mannāʿ al-Qaṭṭān,مناع القطان,1420,-,-,-
1011,"Abū ʿUmar Muḥammad b. Yūsuf b. Yaʿqūb al-Kindī, al-Mawtāf baʿd sana 353 AH [kadhā ʿalā ghilāf al-maṭbūʿ wa lam yadhkur mustanadah]","أبو عمر محمد بن يوسف بن يعقوب الكندي، المتوفى بعد سنة ٣٥٣ هـ[كذا على غلاف المطبوع ولم يذكر مستنده]",Abū ʿUmar al-Kindī,أبو عمر الكندي,350,-,-,-
1012,As-Sayyid Sulaymān al-Nadwī al-Ḥusaynī (t. 1373 AH),السيد سليمان الندوي الحسيني (ت ١٣٧٣هـ),Sulaymān al-Nadwī,سليمان الندوي,1373,-,-,-
1028,ʿAṭīyah b. Muḥammad Sālim (t. 1420 AH),عطية بن محمد سالم (ت ١٤٢٠هـ),ʿAṭiyya Sālim,عطية سالم,1420,-,-,-
1047,Al-Qāḍī Abū Muḥammad ʿAbd al-Wahhab b. ʿAlī b. Naṣr al-Baghdādī al-Mālīkī (422 AH),القاضي أبو محمد عبد الوهاب بن علي بن نصر البغدادي المالكي (٤٢٢هـ),al-Qāḍī ʿAbd al-Wahhāb,القاضي عبد الوهاب,422,-,-,-
1049,ʿAbd al-Laṭīf b. ʿAbd ar-Raḥmān b. Ḥasan b. Muḥammad b. ʿAbd al-Wahhab Āl Shaykh (t. 1293 AH),عبد اللطيف بن عبد الرحمن بن حسن بن محمد بن عبد الوهاب آل الشيخ (ت ١٢٩٣هـ),ʿAbd al-Laṭīf Āl al-Shaykh,عبد اللطيف آل الشيخ,1293,-,-,-
1051,Muwafaq ad-Dīn Abū ʿAbd Allāh,موفق الدين أبو عبد الله,Muḥammad b. ʿAlī al-Raḥbī,محمد بن علي الرحبي,577,-,-,-
1061,Abū Mujāhid ʿAbd al-ʿAzīz b. ʿAbd al-Fattāḥ b. ʿAbd ar-Raḥīm b. al-Malāʾ Muḥammad ʿAẓīm al-Qāri al-Madani,أبو مجاهد عبد العزيز بن عبد الفتاح بن عبد الرحيم بن الملاَّ محمد عظيم القارئ المدني,ʿAbd al-ʿAzīz al-Qāriʾ,عبد العزيز القارئ,1444,-,-,-
1071,ʿAlā ad-Dīn Mughlaṭāy b. Qalīj (689 AH),علاء الدين مُغَلْطَاي بن قليج (٦٨٩,ʿAlāʾ al-Dīn Mughalṭāy,علاء الدين مغلطاي,762,-,-,-
1075,Aḥmad b. Ḥajar b. Muḥammad b. Ḥajar b. Aḥmad b. Ḥajar b. Ṭāmī b. Ḥajar b. Sindi b. Saʿdūn Āl Buṭāmī al-Banaʿlī (t. 1423 AH),أحمد بن حجر بن محمد بن حجر بن أحمد بن حجر بن طامي بن حجر بن سند بن سعدون آل بوطامي البنعلي (ت ١٤٢٣هـ),Aḥmad b. Ḥajar Āl Bū Ṭāmī,أحمد بن حجر آل بوطامي,1423,-,-,-
1077,Hamūd b. ʿAbd Allāh b. Hamūd b. ʿAbd ar-Raḥmān at-Tuwajirī (t. 1413 AH),حمود بن عبد الله بن حمود بن عبد الرحمن التويجري (ت ١٤١٣هـ),Ḥumūd b. ʿAbd Allāh al-Tuwayjirī,حمود بن عبد الله التويجري,1413,-,-,-
1080,Hāmid b. Muḥammad b. Ḥusayn b. Ḥusayn b. Muḥsin,حامد بن محمد بن حسين بن محسن,Ḥāmid b. Muḥsin,حامد بن محسن,1317,-,-,-
1097,ʿAbbās Ḥasan (t. 1398 AH),عباس حسن (ت ١٣٩٨هـ),ʿAbbās Ḥasan,عباس حسن,1398,-,-,-
1099,ʿAbd al-Wahhab Khilāf (muwt. 1375 AH),عبد الوهاب خلاف (المتوفى : ١٣٧٥هـ),ʿAbd al-Wahhāb Khallāf,عبد الوهاب خلاف,1375,-,-,-
1100,"ʿAlī b. Muḥammad b. ʿAbd al-Malik al-Kattāmī al-Ḥamīrī al-Fāsī, Abū al-Ḥasan Ibn al-Qatān (t. 628 AH)","علي بن محمد بن عبد الملك الكتامي الحميري الفاسي، أبو الحسن ابن القطان (ت ٦٢٨ هـ)",Ibn al-Qaṭṭān al-Fāsī,ابن القطان الفاسي,628,-,-,-
1103,"Sulaymān b. ʿAbd al-Qawī b. al-Karīm at-Tūfī aṣ-Ṣurṣarī, Abū al-Rabīʿ, Najm ad-Dīn (muwt. 716 AH)","سليمان بن عبد القوي بن الكريم الطوفي الصرصري، أبو الربيع، نجم الدين (المتوفى : ٧١٦هـ)",al-Ṭūfī,الطوفي,716,-,-,-
1105,Abū al-Walīd Muḥammad b. Aḥmad b. Rushd al-Qurṭabī (t. 520 AH),أبو الوليد محمد بن أحمد بن رشد القرطبي (ت ٥٢٠هـ),Ibn Rushd al-Jadd,ابن رشد الجد,520,-,-,-
1106,Al-Qāḍī Abū Yaʿlā Muḥammad b. al-Ḥusayn al-Farāʾ al-Baghdādī al-Ḥanbalī,القاضي أبو يعلى محمد بن الحسين الفراء البغدادي الحنبلي,al-Qāḍī Abū Yaʿlā b. al-Farrāʾ,القاضي أبو يعلى ابن الفراء,458,-,-,-
1111,ʿAbd al-Mutaʿāl aṣ-Ṣaʿīdī (t. 1391 AH),عبد المتعال الصعيدي (ت ١٣٩١هـ),ʿAbd al-Mutaʿāl al-Ṣaʿīdī,عبد المتعال الصعيدي,1391,-,-,-
1125,Muṣṭafā Laṭfī b. Muḥammad Laṭfī b. Muḥammad Ḥasan Laṭfī al-Manfalūṭī (t. 1343 AH),مصطفى لطفي بن محمد لطفي بن محمد حسن لطفي المَنْفَلُوطي (ت ١٣٤٣هـ),al-Manfalūṭī,المنفلوطي,1343,-,-,-
1128,Abū Yāṣir Muḥammad b. Maṭar b. ʿUthmān Āl Maṭar az-Zahrānī (t. 1427 AH),أبو ياسر محمد بن مطر بن عثمان آل مطر الزهراني (ت ١٤٢٧هـ),Muḥammad b. Maṭar al-Zahrānī,محمد بن مطر الزهراني,1427,-,-,-
1132,"Abū ʿAbd Allāh, Muḥammad b. Ibrāhīm b. Saʿd Allāh b. Jamāʿat al-Kanānī al-Ḥammawī ash-Shāfʿī, Badr ad-Dīn (t. 733 AH)","أبو عبد الله، محمد بن إبراهيم بن سعد الله بن جماعة الكناني الحموي الشافعي، بدر الدين (ت ٧٣٣هـ)",al-Badr b. Jamāʿa,البدر ابن جماعة,733,-,-,-
1145,Aḥmad b. Muḥammad ʿAbd al-Qādir al-Maʿrūf bi-Aḥmad Shākir (t. 1377 AH),أحمد بن محمد عبد القادر المعروف بأحمد شاكر (ت ١٣٧٧هـ),Aḥmad Shākir,أحمد شاكر,1377,-,-,-
1149,Muṣṭafā Ṣādiq b. ʿAbd ar-Razāq b. Saʿīd b. Aḥmad b. ʿAbd al-Qādir al-Rāfʿī (t. 1356 AH),مصطفى صادق بن عبد الرزاق بن سعيد بن أحمد بن عبد القادر الرافعي (ت ١٣٥٦هـ),Muṣṭafā Ṣādiq al-Rāfiʿī,مصطفى صادق الرافعي,1356,-,-,-
1152,ʿUḍd ad-Dīn ʿAbd ar-Raḥmān al-Ījī (t. 756 AH),عضد الدين عبد الرحمن الإيجي (ت ٧٥٦ هـ),ʿAḍud al-Dīn al-Ījī,عضد الدين الإيجي,756,-,-,-
1157,ʿAbd ar-Raḥmān b. ʿAbd al-Laṭīf b. ʿAbd Allāh b. ʿAbd ar-Raḥmān b. Ḥasan b. Muḥammad b. ʿAbd al-Wahhab,عبد الرحمن بن عبد اللطيف بن عبد الله بن عبد اللطيف بن عبد الرحمن بن حسن بن محمد بن عبد الوهاب,ʿAbd al-Raḥmān b. ʿAbd al-Laṭīf b. ʿAbd Allāh Āl al-Shaykh,عبد الرحمن بن عبد اللطيف بن عبد الله آل الشيخ,1405,-,-,-
1166,Ibrāhīm b. Nāṣif b. ʿAbd Allāh b. Nāṣif b. ʿAbd Allāh b. Nāṣif b. Janbalāṭ b. Saʿd al-Yāzijī al-Ḥimṣī Naṣrānī ad-Dīyāna (t. 1324 AH),إبراهيم بن ناصف بن عبد الله بن ناصف بن عبد الله بن ناصف بن جنبلاط بن سعد الْيَازِجِيّ الْحِمْصِيّ نصراني الديانة (ت ١٣٢٤هـ),"al-Yāzijī, Ibrāhīm","اليازجي، إبراهيم",1324,-,-,-
1169,"ʿAlī b. Sulaymān b. al-Faḍl, Abū al-Maḥāsin, al-Maʿrūf bi-al-Akfaš aṣ-Ṣughr (t. 315 AH)","علي بن سليمان بن الفضل، أبو المحاسن، المعروف بالأخفش الأصغر (ت ٣١٥هـ)",al-Akhfash al-Aṣghar,الأخفش الأصغر,315,-,-,-
1175,"Muḥammad b. ʿIsā b. Muḥammad b. aṣ-Ṣabgh, Abū ʿAbd Allāh b. al-Manāṣif al-Azdī al-Qurṭabī (t. 620 AH)","محمد بن عيسى بن محمد بن أصبغ، أبو عبد الله بن المناصف الأزدي القرطبي (ت ٦٢٠هـ)",Ibn al-Munāṣif,ابن المناصف,620,-,-,-
1176,Abū al-Ḥasanāt Muḥammad ʿAbd al-Ḥay al-Lakannawī (t. 1304 AH),أبو الحسنات محمد عبد الحي اللكنوي [ت ١٣٠٤ هـ],Abū al-Ḥasanāt al-Laknawī,أبو الحسنات اللكنوي,1304,-,-,-
1178,"Aḥmad b. Ibrāhīm b. al-Zubayr ath-Thaqafī al-Gharnātī, Abū Jaʿfar (t. 708 AH)","أحمد بن إبراهيم بن الزبير الثقفي الغرناطي، أبو جعفر (ت ٧٠٨هـ)",Ibn al-Zubayr al-Gharnāṭī,ابن الزبير الغرناطي,708,-,-,-
1179,ʿĀʾishah Muḥammad ʿAlī ʿAbd ar-Raḥmān al-Maʿrūfa bi-Bint ash-Shāṭiʾ (t. 1419 AH),عائشة محمد علي عبد الرحمن المعروفة ببنت الشاطئ (ت ١٤١٩هـ),ʿĀʾisha ʿAbd al-Raḥmān Bint al-Shāṭiʾ,عائشة عبد الرحمن بنت الشاطئ,1419,-,-,-
1184,"Aḥmad b. Yūsuf b. Mālik ar-Raʿīnī al-Gharnātī thumma al-Bīrī, Abū Jaʿfar al-Andalusī (t. 779 AH)","أحمد بن يوسف بن مالك الرعيني الغرناطي ثم البيري، أبو جعفر الأندلسي (ت ٧٧٩هـ)",Abū Jaʿfar al-Ruʿaynī al-Andalusī,أبو جعفر الرعيني الأندلسي,779,-,-,-
1187,ʿAbd al-ʿAzīm Ibrāhīm Muḥammad al-Maṭʿanī (t. 1429 AH),عبد العظيم إبراهيم محمد المطعني (ت ١٤٢٩هـ),ʿAbd al-ʿAẓīm al-Muṭʿinī,عبد العظيم المطعني,1429,-,-,-
1188,Muḥammad ʿAmārah Muṣṭafā ʿAmārah,محمد عمارة مصطفى عمارة,Muḥammad ʿImāra,محمد عمارة,1441,-,-,-
1190,,,al-Maḥbūbī Ṣadr al-Sharīʿa al-Aṣghar,المحبوبي صدر الشريعة الأصغر,747,-,-,-
1192,ʿAbd al-Ḥayy b. Fakhr al-Dīn b. ʿAbd al-ʿAlī al-Ḥasanī al-Ṭālibī (d. 1341 AH),عبد الحي بن فخر الدين بن عبد العلي الحسني الطالبي (ت ١٣٤١هـ),ʿAbd al-Ḥayy al-Ḥasanī,عبد الحي الحسني,1341,-,-,-
1193,Abū Bakr Muḥammad b. al-Qāsim b. Bishr al-Anbārī (d. 328 AH),أبو بكر محمد بن القاسم بن بشار الأنباري (ت ٣٢٨هـ),Ibn al-Anbārī,ابن الأنباري,328,-,-,-
1197,Abū ʿAbd Allāh Muḥammad b. ʿAbd Allāh al-Iṣbahānī al-maʿrūf bi-l-Khaṭīb al-Iskāfī (d. 420 AH),أبو عبد الله محمد بن عبد الله الأصبهاني المعروف بالخطيب الإسكافي (ت ٤٢٠ هـ),al-Khaṭīb al-Iskāfī,الخطيب الإسكافي,420,-,-,-
1198,,,Ḥarb al-Kirmānī,حرب الكرماني,280,-,-,-
1199,"Muḥammad b. ʿUmar b. Muḥammad, Abū ʿAbd Allāh, Muḥib al-Dīn b. Rashīd al-Fihrī al-Sabtī (d. 721 AH)","محمد بن عمر بن محمد، أبو عبد الله، محب الدين ابن رشيد الفهري السبتي (ت ٧٢١هـ)",Ibn Rashīd al-Sabtī,ابن رشيد السبتي,721,-,-,-
1200,Dr. Ṣalāḥ ʿAbd al-Fattāḥ al-Khālidī,د صلاح عبد الفتاح الخالدي,Ṣalāḥ al-Khālidī,صلاح الخالدي,1443,-,-,-
1203,ʿUmar b. Sulaymān b. ʿAbd Allāh al-Ashqar al-ʿUtaybī (d. 1433 AH),عمر بن سليمان بن عبد الله الأشقر العتيبي (ت ١٤٣٣هـ),ʿUmar Sulaymān al-Ashqar,عمر سليمان الأشقر,1433,-,-,-
1207,Zakī al-Dīn Abū Muḥammad ʿAbd al-ʿAẓīm b. ʿAbd al-Qawī al-Mundhirī (d. 656 AH),زكي الدين أبو محمد عبد العظيم بن عبد القوي المنذري (ت ٦٥٦ هـ),ʿAbd al-ʿAẓīm al-Mundhirī,عبد العظيم المنذري,656,-,-,-
1210,al-Samawʾal b. Yaḥyā b. ʿAbbās al-Maghribī (approx. d. 570 AH),السموأل بن يحيى بن عباس المغربي (ت نحو ٥٧٠هـ),al-Samawʾal b. Yaḥyā al-Maghribī,السموأل بن يحيى المغربي,570,-,-,-
1212,,,Ibn Abī Khaythama,ابن أبي خيثمة,279,-,-,-
1216,"Muḥammad b. Ibrāhīm b. Yūsuf al-Ḥalabī al-Qādirī al-Tādhafī, al-Ḥanafī, Raḍī al-Dīn al-maʿrūf bi-ʾIbn al-Ḥanbalī (d. 971 AH)","محمد بن إبراهيم بن يوسف الحلبي القادري التاذفي، الحنفي رضي الدين المعروف بـ ابن الحنبلي (ت ٩٧١هـ)","Ibn al-Ḥanbalī, Raḍī al-Dīn","ابن الحنبلي، رضي الدين",971,-,-,-
1218,"Abū Bakr, Muḥammad b. Zakarīyāʾ al-Rāzī (d. 313 AH)","أبو بكر، محمد بن زكريا الرازي (ت ٣١٣هـ)",Muḥammad b. Zakariyyā al-Rāzī al-Ṭabīb,محمد بن زكريا الرازي الطبيب,313,-,-,-
1222,"Yaḥyā b. Salām b. Abī Thaʿlabah, al-Taymī bi-l-walāʾ, from Taym Rabīʿah, al-Baṣrī then al-Ifriqī al-Qayrawānī (d. 200 AH)","يحيى بن سلام بن أبي ثعلبة، التيمي بالولاء، من تيم ربيعة، البصري ثم الإفريقي القيرواني (ت ٢٠٠هـ)",Yaḥyā b. Sallām,يحيى بن سلام,200,-,-,-
1224,Muqbil b. Hādī b. Muqbil b. Qāʾidah al-Hamdānī al-Wādiʿī (d. 1422 AH),مُقْبلُ بنُ هَادِي بنِ مُقْبِلِ بنِ قَائِدَةَ الهَمْدَاني الوادعِيُّ (ت ١٤٢٢هـ),Muqbil b. Hādī al-Wādiʿī,مقبل بن هادي الوادعي,1422,-,-,-
1237,"ʿAlī b. ʿĪsā b. ʿAlī b. ʿAbd Allāh, Abū al-Ḥasan al-Rummānī al-Muʿtazilī (d. 384 AH)","علي بن عيسى بن علي بن عبد الله، أبو الحسن الرماني المعتزلي (ت ٣٨٤هـ)",Abū al-Ḥasan al-Rummānī,أبو الحسن الرماني,384,-,-,-
1241,Aḥmad b. Ismāʿīl b. Muḥammad Taymūr (d. 1348 AH),أحمد بن إسماعيل بن محمد تيمور (ت ١٣٤٨ هـ),Aḥmad Taymūr Bāshā,أحمد تيمور باشا,1348,-,-,-
1245,"Muḥammad b. ʿAbd Allāh, Ibn Mālik al-Ṭāʾī al-Jiyānī, Abū ʿAbd Allāh, Jamāl al-Dīn (d. 672 AH)","محمد بن عبد الله، ابن مالك الطائي الجياني، أبو عبد الله، جمال الدين (ت ٦٧٢ هـ)",Ibn Mālik,ابن مالك,672,-,-,-
1259,al-Ḥājjah Duriyyah al-ʿAyṭah,الحاجة درية العيطة,Durriyya al-ʿĪṭa,درية العيطة,1437,-,-,-
1264,"Aḥmad b. al-Ḥusayn b. Aḥmad, Abū Shujāʿ, Shihāb al-Dīn Abū al-Ṭayyib al-Iṣbahānī (d. 593 AH)","أحمد بن الحسين بن أحمد، أبو شجاع، شهاب الدين أبو الطيب الأصفهاني (ت ٥٩٣هـ)",Abū Shujāʿ,أبو شجاع,593,-,-,-
1265,Ḥasan b. ʿAmmār b. ʿAlī al-Sharnbalālī al-Miṣrī al-Ḥanafī (d. 1069 AH),حسن بن عمار بن علي الشرنبلالي المصري الحنفي (ت ١٠٦٩هـ),al-Shrunbulālī,الشرنبلالي,1069,-,-,-
1267,ʿAbd al-Ghanī b. ʿAlī al-Daqqār (d. 1423 AH),عبد الغني بن علي الدقر (ت ١٤٢٣هـ),ʿAbd al-Ghanī al-Daqr,عبد الغني الدقر,1423,-,-,-
1269,Maḥmūd b. Aḥmad Ṭaḥān,محمود بن أحمد طحان,Maḥmūd al-Ṭaḥḥān,محمود الطحان,1444,-,-,-
1271,"al-Bāghandī al-Ṣaghīr Muḥammad b. Muḥammad b. Sulaymān b. al-Ḥārith al-Azdī, Abū Bakr al-Wāsiṭī (d. 312 AH)","الباغندي الصغير محمد بن محمد بن سليمان بن الحارث الأزدي، أبو بكر الواسطي (ت ٣١٢هـ)",al-Bāghandī al-Ṣaghīr,الباغندي الصغير,312,-,-,-
